Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count total super member accounts balance,Average total super member accounts balance,Median total super member accounts balance
2623,356,356,53125,51918,0.83,294,58460,58284,0.12,42,-2094,-2492,356,55448,54601,356,2196,790,0.08,29,44266,32629,0.09,32,28293,24362,0.81,290,13072,11476,425,108583,54252
2625,181,181,48346,42695,0.81,146,38027,34307,0.27,49,5937,3571,181,52068,43670,181,3720,647,0.12,22,133385,65186,0.12,22,84940,23756,0.8,145,11964,7475,250,101785,24157
2626,305,305,55549,51126,0.74,225,61360,57316,0.13,40,-464,-2438,305,57686,52197,305,1996,528,0.1,30,62226,41035,0.1,30,42416,25970,0.75,230,15262,12264,312,127489,66601
2627,2939,2939,50722,40108,0.82,2409,46435,39127,0.2,600,2942,709,2939,53322,42548,2939,2462,575,0.13,394,85389,33714,0.13,389,67007,17381,0.76,2245,13492,8241,3353,109239,40567
2628,1080,1080,44200,37988,0.73,789,43759,41009,0.17,185,1749,447,1080,46705,40510,1080,2359,516,0.16,169,85386,40341,0.15,164,65985,23571,0.71,765,10952,7666,1172,105165,51713
2629,267,267,41154,32325,0.61,163,47043,41974,0.14,38,248,-477,267,42853,33616,267,1394,299,0.13,34,46820,32978,0.12,33,37048,18098,0.63,167,11363,7849,303,110518,36315
2630,5101,5101,50949,41329,0.75,3820,49823,43819,0.16,814,1492,286,5101,53296,43073,5101,2158,492,0.1,523,85082,33749,0.1,508,66610,20217,0.74,3773,13977,8747,5494,137964,50392
2631,350,350,55733,38582,0.67,236,43097,37914,0.12,43,-1829,-3408,350,59333,40194,350,3232,408,0.14,50,120572,38974,0.14,50,112872,26374,0.72,252,17577,8978,370,112379,39393
2632,1095,1095,52468,44811,0.75,823,50154,45000,0.13,138,2600,1168,1095,55515,46661,1095,2879,650,0.11,117,67981,25442,0.11,115,49706,15917,0.75,821,14235,10188,1172,135799,57093
2633,205,205,47019,36286,0.69,141,45072,39444,0.09,18,-74,-222,205,50983,42127,205,3857,404,0.15,31,124820,42000,0.14,28,87528,34772,0.71,145,12842,7862,220,94478,42129
2640,21645,21645,54217,43943,0.79,17065,52729,47406,0.15,3209,247,-451,21645,56737,46103,21645,2455,667,0.08,1769,99652,32997,0.08,1717,67952,16329,0.75,16276,15543,10192,23549,156291,57920
2641,8223,8223,44999,40104,0.8,6597,46260,43141,0.1,815,1267,0,8223,46890,41508,8223,1849,541,0.08,626,77937,31659,0.07,616,56304,13547,0.74,6048,10958,8010,9361,100010,43472
2642,3023,3023,48162,41220,0.72,2168,47620,43662,0.14,426,2733,93,3023,50926,43581,3023,2518,495,0.11,318,101505,38321,0.1,302,82203,26044,0.74,2227,12819,8996,3120,122615,52636
2643,1543,1543,42447,37520,0.75,1156,47011,44194,0.11,175,-963,-408,1543,44945,39879,1543,2157,633,0.07,114,88976,29978,0.08,116,70842,12300,0.7,1087,10603,8474,1694,119284,57238
2644,1426,1426,47865,37245,0.68,967,44302,40417,0.14,206,1296,120,1426,51367,39833,1426,2739,431,0.11,163,98431,38850,0.11,157,83363,25640,0.69,982,14251,8083,1461,139816,49842
2645,227,227,47084,39506,0.66,150,39016,35466,0.12,27,-246,0,227,49388,40209,227,2151,336,0.11,26,94306,39572,0.11,25,64945,15964,0.71,162,13062,8698,237,79320,33866
2646,3885,3885,44896,38728,0.72,2801,47388,43615,0.13,519,2109,334,3885,47729,41409,3885,2588,657,0.07,255,90568,35577,0.06,247,75147,19491,0.7,2736,12136,8768,4352,133081,54437
2647,1240,1240,42454,36099,0.69,861,45372,41916,0.14,170,2628,882,1240,44841,37930,1240,2203,516,0.07,84,107590,31773,0.07,81,99281,18551,0.67,835,11498,8292,1382,170397,62215
2648,1218,1218,43813,34736,0.69,838,42982,38108,0.11,135,-589,-936,1218,47684,37602,1218,2867,460,0.11,128,152326,40708,0.1,119,129475,32732,0.68,826,11792,7385,1452,99075,37013
2650,33206,33206,54756,45362,0.81,26876,53410,48139,0.15,4883,515,-340,33206,57438,47480,33206,2523,838,0.07,2470,116538,38336,0.07,2398,82020,20560,0.78,25777,15182,9966,36433,134195,49988
2651,1140,1140,50658,48194,0.93,1059,52979,51348,0.1,109,-1457,-1237,1140,52787,49926,1140,2129,1080,0.04,47,34945,24300,0.04,46,23885,13206,0.82,938,11647,9708,1274,85528,40808
2652,2842,2842,49416,42400,0.69,1975,47920,44312,0.13,372,1918,318,2842,52853,44647,2842,2848,500,0.1,274,103826,51253,0.1,274,87755,33638,0.74,2115,13295,9454,2991,100696,44875
2653,1400,1400,48418,41424,0.74,1040,52785,48900,0.14,193,1734,-43,1400,50746,44066,1400,2156,554,0.09,130,134427,36944,0.09,131,125771,35600,0.72,1009,13384,10268,1534,123827,51222
2655,819,819,44955,41913,0.73,600,49111,46744,0.16,128,-389,-492,819,47746,43874,819,2531,666,0.11,86,93171,32038,0.1,83,82703,29763,0.71,581,12227,9345,885,100546,52272
2656,702,702,48139,41675,0.65,456,43476,37407,0.16,111,1706,-3,702,52178,44689,702,3997,604,0.1,73,83836,39231,0.1,71,64396,22841,0.74,516,12535,8542,706,139509,48427
2658,740,740,42256,35562,0.68,503,39506,35886,0.11,84,2188,790,740,45101,37705,740,2388,448,0.08,62,61499,37966,0.08,61,46329,29208,0.68,503,10880,7014,778,124150,46620
2659,522,522,40678,34912,0.66,344,44363,40000,0.11,56,1386,602,522,43399,37434,522,2148,476,0.09,48,74508,37905,0.09,48,61584,19336,0.68,354,11067,7416,519,110861,51784
2660,891,891,46110,39423,0.75,667,44220,40000,0.15,133,2025,365,891,48779,41681,891,2428,529,0.08,75,96706,47845,0.09,78,70928,24831,0.71,630,12465,8758,960,111860,46946
2661,138,138,63617,69313,0.91,126,72378,77007,0.21,29,-4238,-5258,138,67494,72414,138,3849,2838,0.03,4,19454,14189,0.02,3,27084,23896,0.85,117,16168,16398,160,191273,107594
2663,2319,2319,48234,42522,0.79,1830,50384,44986,0.12,274,228,-574,2319,50744,44247,2319,2356,708,0.07,154,88854,46074,0.06,149,71871,22186,0.76,1753,12289,8524,2657,108346,42792
2665,1209,1209,44476,35414,0.56,680,40693,35768,0.12,150,2160,712,1209,48470,38826,1209,3432,330,0.1,126,159382,54680,0.1,119,145443,41819,0.69,834,11922,8037,1232,107202,40483
2666,3095,3095,45508,37129,0.71,2184,45146,40620,0.13,398,1076,282,3095,48706,39801,3095,2858,667,0.09,277,93132,38988,0.09,272,74184,25040,0.7,2152,12437,8218,3345,140018,51838
2668,202,202,40964,33060,0.6,122,29607,21565,0.1,21,5223,4479,202,46148,37436,202,3319,283,0.09,18,67461,30566,0.08,16,57395,24118,0.59,119,12570,7588,232,121013,37962
2669,953,953,46305,37269,0.56,534,38641,36042,0.1,98,3506,902,953,50801,39953,953,3348,280,0.1,98,181691,56910,0.1,98,161218,40189,0.69,661,13888,8255,942,86789,32223
2671,2265,2265,50888,40016,0.72,1636,52063,43736,0.14,318,1974,490,2265,53767,41809,2265,2339,501,0.11,246,132151,53298,0.1,236,114777,41851,0.72,1636,14989,9478,2390,131774,50852
2672,842,842,46184,38918,0.68,574,43242,38502,0.12,98,-402,-410,842,50095,41249,842,2787,420,0.08,69,147998,59217,0.08,68,116854,32604,0.73,614,12476,8274,915,92384,26513
2675,988,988,45618,39959,0.79,779,43932,39214,0.13,125,1276,216,988,48682,43075,988,2616,603,0.08,78,119594,39481,0.07,74,109597,32866,0.77,756,11445,8583,1168,66860,23905
2680,15009,15009,48941,42586,0.81,12163,47446,44318,0.12,1796,2797,578,15009,51433,44700,15009,2240,554,0.06,906,121711,41466,0.06,871,94211,24403,0.77,11493,12744,8819,17028,111742,28760
2681,987,987,46096,42206,0.79,781,49041,44569,0.13,132,461,-101,987,48583,44170,987,2182,538,0.06,60,70696,33894,0.06,58,60382,16169,0.74,732,11998,9440,1115,111412,44375
2700,2555,2555,44640,39471,0.76,1930,47504,44417,0.15,384,-85,-492,2555,47633,42149,2555,2720,925,0.08,193,110694,47524,0.08,193,87367,31509,0.71,1826,11687,8475,2880,100305,40371
2701,1329,1329,50633,42045,0.71,948,49499,44678,0.15,204,2107,60,1329,53817,44819,1329,2739,566,0.1,136,114971,36368,0.1,128,96759,24673,0.74,978,13940,9378,1357,126736,55054
2702,393,393,46183,36987,0.67,264,41140,38158,0.08,33,-908,-686,393,48567,39661,393,2206,493,0.09,35,133711,39165,0.09,35,104745,26006,0.67,265,12783,9096,421,83856,44058
2703,408,408,43149,40958,0.82,336,47319,45070,0.12,51,-526,-327,408,46040,42240,408,2376,698,0.07,30,92533,42640,0.07,29,83337,48607,0.72,294,10438,8828,481,84793,47814
2705,5745,5745,47664,42518,0.79,4549,50389,47217,0.13,728,-1095,-1089,5745,50336,44743,5745,2264,683,0.07,404,79683,34318,0.07,388,70068,24194,0.74,4277,12428,9250,6490,106381,41586
2706,650,650,44954,42414,0.85,552,46016,45586,0.11,70,-406,-1324,650,47399,44342,650,2206,649,0.07,43,100397,18200,0.06,41,93891,19899,0.74,479,11121,8425,766,87617,37760
2707,902,902,43805,38757,0.64,580,45560,41008,0.13,119,78,-496,902,48667,42686,902,3037,324,0.11,102,143311,50564,0.11,96,152307,48966,0.73,656,12426,8103,933,134559,36065
2710,5695,5695,43721,37399,0.72,4128,46083,42360,0.12,711,1269,571,5695,46514,39720,5695,2278,528,0.09,537,152173,44567,0.09,513,142126,30736,0.7,4006,11818,7854,6283,126468,47084
2711,1885,1885,45893,39119,0.76,1424,44356,40559,0.13,254,2583,350,1885,49147,42384,1885,2653,658,0.1,185,108814,41492,0.09,179,88805,30383,0.74,1403,11509,8306,2105,110234,37598
2712,733,733,41662,34744,0.65,478,42569,39055,0.12,86,2668,678,733,44569,36402,733,2657,400,0.11,82,159220,65268,0.11,81,140763,38473,0.65,478,11749,7874,796,113973,45305
2713,1538,1538,39348,35347,0.68,1039,43354,39625,0.11,173,-427,-451,1538,42847,37822,1538,2757,551,0.09,138,140666,38002,0.09,132,134267,31644,0.68,1040,10334,7270,1710,115822,40632
2714,1409,1409,42597,34118,0.68,952,45616,39862,0.12,172,3068,-222,1409,45745,36184,1409,2683,562,0.09,125,96005,35683,0.08,119,87513,25402,0.67,947,11569,7796,1608,149735,52875
2715,800,800,47206,40815,0.72,579,45993,41377,0.1,83,-1374,-54,800,51217,43982,800,3227,898,0.11,87,113077,49413,0.11,87,98729,32102,0.75,602,12240,7917,904,92400,37293
2716,703,703,47745,37451,0.72,506,43451,37848,0.15,108,138,-150,703,51999,40886,703,3126,514,0.1,68,105480,36326,0.09,66,95662,29358,0.72,504,13648,8390,781,166276,46498
2717,586,586,42707,35146,0.74,432,43006,40220,0.1,56,3637,1208,586,45898,37033,586,2446,510,0.09,53,146523,40287,0.09,51,121771,31374,0.67,394,11303,7539,704,85985,33559
2720,4381,4381,52114,43800,0.79,3469,54844,49031,0.12,546,928,-12,4381,54214,45796,4381,2033,633,0.07,319,81619,35750,0.07,313,61431,23699,0.76,3319,14120,10068,5044,120402,54466
2721,129,129,31799,29386,0.52,67,32683,28276,0.12,15,11933,863,129,35341,31512,129,3273,256,0.14,18,98340,43282,0.12,16,97115,36550,0.57,74,9649,5560,140,79122,26669
2722,1733,1733,47594,39370,0.76,1320,44603,39706,0.11,194,2730,1052,1733,50237,41092,1733,2368,537,0.09,158,99760,50464,0.09,155,81271,30631,0.73,1268,12546,8109,1971,124862,44427
2725,161,161,44003,36449,0.67,108,42783,36160,0.07,11,1177,806,161,48190,38709,161,4126,670,0.14,23,79224,30227,0.14,22,52030,13272,0.68,110,13379,9299,182,138916,43933
2726,174,174,45757,39258,0.63,110,41407,38008,0.22,39,4693,2010,174,48228,40983,174,2423,332,0.2,35,63161,40854,0.19,33,51918,26593,0.71,124,11108,9501,170,130557,49169
2727,237,237,56720,39129,0.68,162,41294,39914,0.11,25,6712,-2186,237,64857,43921,237,5847,850,0.09,22,68245,39742,0.09,22,54743,31598,0.72,170,18322,8464,248,150332,41731
2729,920,920,51237,38960,0.73,673,49581,43090,0.12,108,2168,1838,920,54443,42148,920,2800,700,0.09,87,113317,45455,0.09,86,91433,32080,0.72,662,14407,10467,1011,120889,53644
2730,829,829,42406,36818,0.8,661,43420,39556,0.11,90,610,398,829,44296,38422,829,1855,432,0.07,55,114926,36776,0.07,55,97767,16635,0.71,592,10836,7558,1001,88030,40618
2731,3580,3580,65831,39745,0.73,2606,49530,43280,0.13,463,771,-287,3580,68718,41728,3580,2663,616,0.08,274,93344,42804,0.08,272,73522,21698,0.72,2567,25407,8971,3883,159110,62961
2732,1037,1037,40586,33221,0.64,660,43943,36482,0.13,131,868,616,1037,43560,36251,1037,2310,398,0.11,109,77768,26149,0.1,104,67081,20438,0.64,664,12370,7073,1076,147448,55440
2733,339,339,40323,36606,0.71,239,42282,38116,0.07,23,1202,-1304,339,46114,38726,339,3164,560,0.08,28,132311,37344,0.09,30,120060,20234,0.7,236,10098,7234,360,119993,39986
2735,177,177,33069,33297,0.67,118,39923,38712,0.13,23,3138,-109,177,35581,34690,177,2194,450,0.09,16,102118,43906,0.08,14,95612,24492,0.65,115,7515,5885,190,70519,25272
2736,199,199,43467,34724,0.65,130,38973,33533,0.09,17,5321,1830,199,46866,36324,199,2949,413,0.08,15,222654,84798,0.07,14,209064,80464,0.66,131,12182,7392,222,103414,31925
2737,452,452,67408,35908,0.7,317,42179,38775,0.1,46,2635,1210,452,70005,39334,452,2341,498,0.03,15,204876,115812,0.03,15,170883,102381,0.76,343,25308,6899,502,75839,29839
2738,915,915,62285,45321,0.7,643,52079,45760,0.16,149,-1464,-1553,915,67800,48708,915,3339,725,0.09,79,85339,37044,0.08,76,72405,25370,0.74,675,21003,10941,972,232382,64917
2739,680,680,49321,40546,0.77,525,46438,42683,0.13,87,792,-1390,680,53144,42632,680,2995,882,0.1,68,72705,32616,0.1,65,57023,22877,0.73,498,13627,8462,1231,106581,8267
2745,17993,17993,63640,53891,0.87,15722,63833,57504,0.17,3070,-1859,-2042,17993,66550,56517,17993,2874,1127,0.07,1249,94316,36223,0.07,1211,71722,17932,0.82,14780,18109,13248,19722,124629,57548
2747,24506,24506,54181,48888,0.88,21637,56819,52798,0.11,2768,-2368,-2077,24506,56625,51045,24506,2402,1047,0.07,1650,71584,28278,0.06,1584,54017,13828,0.81,19880,13784,10650,28108,77961,39209
2748,1401,1401,70144,48938,0.72,1006,61687,49985,0.31,432,3434,1302,1401,73630,52185,1401,3404,676,0.09,124,187425,48324,0.09,122,155295,27640,0.79,1101,22959,12794,1404,172107,52803
2749,9898,9898,58313,50548,0.87,8609,59510,54543,0.14,1376,-2010,-1713,9898,60960,53140,9898,2626,1043,0.06,619,85284,38185,0.06,601,63251,19024,0.81,8037,15767,11709,11247,97491,47089
2750,25584,25584,56164,48802,0.85,21777,58716,53466,0.13,3282,-1701,-1610,25584,58717,51050,25584,2503,949,0.07,1701,83898,31085,0.06,1651,61524,14854,0.79,20304,15198,11400,29739,101557,49270
2752,3096,3096,58085,50844,0.85,2639,59765,54339,0.17,512,-1625,-1029,3096,60692,53356,3096,2581,1006,0.07,216,76133,35756,0.07,214,55793,19692,0.82,2534,15514,11649,3493,100930,53497
2753,9947,9947,56367,46043,0.8,7988,57366,50641,0.17,1701,1909,-54,9947,58828,48386,9947,2404,783,0.09,874,91897,43040,0.08,842,68451,20998,0.78,7711,15954,11046,11338,108765,45330
2754,3379,3379,55639,45418,0.79,2677,57374,50962,0.15,506,726,-336,3379,57974,47786,3379,2267,792,0.08,257,91388,33339,0.07,250,74995,20221,0.77,2613,15633,10783,3744,122967,52709
2756,20658,20658,58226,48326,0.84,17271,58039,51597,0.14,2993,-9,-552,20658,60849,50750,20658,2537,883,0.09,1796,104993,42982,0.09,1781,80199,22067,0.8,16541,15981,11103,23585,104294,46056
2757,585,585,51614,43269,0.74,431,56971,49026,0.18,106,367,-786,585,55527,45465,585,3899,590,0.1,61,106707,57378,0.1,61,99261,37874,0.74,434,16144,10553,617,149576,58657
2758,5502,5502,60601,48758,0.77,4236,61446,53602,0.19,1069,57,-663,5502,63271,51350,5502,2596,784,0.11,627,93973,36129,0.11,621,70369,19522,0.77,4210,18613,13076,6069,145675,65376
2759,16232,16232,55050,49591,0.89,14368,57576,53438,0.14,2223,-3060,-2360,16232,57559,51809,16232,2477,1094,0.07,1134,64551,32850,0.07,1097,44178,16533,0.82,13343,13903,10839,18608,93300,47644
2760,17586,17586,50268,47013,0.89,15623,53273,50947,0.09,1631,-2766,-2543,17586,52587,49056,17586,2297,983,0.06,1110,51395,26671,0.06,1073,34895,13643,0.8,14144,12078,9864,21011,61350,30150
2761,18294,18294,52776,48372,0.9,16508,55895,52430,0.12,2129,-4644,-3550,18294,55133,50570,18294,2340,1148,0.07,1368,101303,30384,0.07,1324,86034,15116,0.81,14821,13242,10464,20479,66530,35896
2762,4401,4401,59466,53430,0.87,3837,63698,58877,0.14,601,-3480,-2963,4401,61881,55657,4401,2330,1002,0.09,383,56208,23333,0.08,365,40941,14407,0.81,3586,16216,13080,4610,77901,39894
2763,18265,18265,56936,50810,0.89,16170,60471,55336,0.15,2761,-4558,-3445,18265,59214,52811,18265,2269,949,0.08,1436,61109,27940,0.08,1398,42118,13068,0.81,14774,15111,11819,20694,86379,43609
2765,9897,9897,59890,48361,0.81,8021,57608,51381,0.18,1765,1172,-103,9897,62527,50941,9897,2574,789,0.08,832,74683,31889,0.08,803,53720,17227,0.8,7897,17245,11437,10981,108101,42367
2766,8747,8747,51372,47135,0.88,7731,54753,51936,0.12,1084,-3766,-3035,8747,53591,49281,8747,2194,1048,0.07,626,58288,31760,0.07,597,40531,15814,0.8,6997,12851,10168,9988,67767,31142
2767,12937,12937,51814,47249,0.89,11486,55685,52064,0.16,2040,-4648,-3345,12937,54008,49549,12937,2174,1047,0.08,998,87602,25346,0.07,956,73742,11870,0.79,10271,13163,10382,14926,69946,32035
2768,16171,16171,62160,52546,0.86,13981,67076,59762,0.22,3566,-6307,-4432,16171,64737,54916,16171,2557,970,0.09,1381,113629,30201,0.08,1340,94850,14678,0.8,12879,18184,13699,17715,93634,51142
2769,7105,7105,68712,60293,0.87,6188,73792,67801,0.24,1688,-7309,-5636,7105,71703,63034,7105,2964,1235,0.09,636,83058,30168,0.09,617,59764,15817,0.82,5860,20365,16125,7339,86726,54999
2770,27183,27183,46062,42283,0.88,24042,48581,46224,0.08,2070,-3025,-2288,27183,48114,44231,27183,2042,860,0.07,1783,56378,30095,0.06,1730,39784,15626,0.77,20822,10889,8530,34953,49848,18660
2773,3853,3853,69854,51828,0.78,3012,70988,59278,0.2,786,-1622,-1267,3853,72780,54278,3853,2907,930,0.09,339,127939,29810,0.08,327,93373,11945,0.76,2912,23619,15894,4309,196366,96555
2774,7837,7837,60752,49621,0.82,6412,64224,56024,0.17,1300,-1623,-1305,7837,63266,51706,7837,2468,861,0.09,680,77502,30028,0.08,652,51322,13102,0.77,6003,18320,13571,8991,153490,76957
2775,843,843,55480,41035,0.74,627,53825,46136,0.16,137,15572,1553,843,58142,43295,843,2444,599,0.13,113,112086,39575,0.13,113,90487,17866,0.74,626,16846,9110,1006,115510,45347
2776,2535,2535,60249,49969,0.83,2101,62138,55469,0.16,418,224,-386,2535,62629,52016,2535,2374,940,0.09,220,70594,30007,0.08,215,44382,11178,0.78,1981,17457,12987,2856,148365,73441
2777,10729,10729,59210,47819,0.8,8603,62276,54785,0.16,1695,-156,-314,10729,61630,50014,10729,2386,816,0.09,971,72946,27167,0.09,934,49844,13482,0.76,8170,17595,13060,11962,146306,75207
2778,1510,1510,57347,44962,0.79,1193,59785,51566,0.14,206,926,-136,1510,59688,47754,1510,2337,762,0.11,172,97429,24094,0.11,164,75828,10201,0.75,1139,16973,12191,1716,145127,74131
2779,2855,2855,53537,45115,0.82,2338,56944,50488,0.12,345,-49,-505,2855,55708,46690,2855,2140,777,0.11,301,57870,23121,0.1,293,40676,10761,0.76,2184,14544,10874,3269,116679,59132
2780,7513,7513,48973,37104,0.72,5388,49492,41756,0.14,1026,3773,1836,7513,51079,38898,7513,2048,475,0.16,1173,71596,25085,0.15,1125,52000,11435,0.69,5192,14445,8614,8921,128385,42789
2782,3471,3471,56138,41507,0.69,2400,58423,49362,0.17,584,3489,1579,3471,58791,43780,3471,2620,654,0.13,443,69700,27466,0.12,422,46644,13112,0.7,2440,18250,11316,3978,172897,73090
2783,1592,1592,50943,42357,0.8,1281,53931,47263,0.12,187,1480,370,1592,53176,44449,1592,2179,677,0.12,185,74646,25471,0.11,181,51562,11619,0.75,1193,13782,9583,1789,111198,52537
2784,742,742,52575,42106,0.77,568,57668,48350,0.13,95,-321,-309,742,54641,43152,742,2060,540,0.14,106,36905,22831,0.14,107,24838,10818,0.71,528,15728,10559,837,117584,55906
2785,2645,2645,52128,38198,0.68,1795,52999,44590,0.16,418,3123,1366,2645,54386,39711,2645,2166,540,0.17,442,75261,24628,0.16,434,57434,9776,0.68,1810,16833,9114,3058,159767,63530
2786,660,660,48475,39510,0.7,465,51793,43806,0.16,104,4057,1508,660,50860,41531,660,2349,500,0.15,98,48209,20021,0.15,98,34690,10374,0.67,445,14208,9660,791,136526,43540
2787,2394,2394,48246,42256,0.74,1775,52890,49377,0.12,278,2096,-46,2394,50542,45194,2394,2069,624,0.11,257,87525,35420,0.11,258,74774,23852,0.72,1720,13451,10282,2696,119826,49039
2790,7357,7357,54202,42751,0.78,5719,59276,49096,0.12,885,1134,-54,7357,56209,44540,7357,1955,681,0.08,622,90476,30486,0.08,622,70702,19085,0.73,5358,16068,10399,8726,132005,52049
2791,172,172,54875,43240,0.7,121,52406,49355,0.28,49,5475,1251,172,58518,45883,172,2998,860,0.13,23,68459,18000,0.13,22,65927,22565,0.7,120,18160,10056,189,161847,65439
2792,195,195,54578,40023,0.66,129,47773,40808,0.2,39,4194,896,195,58632,44634,195,3404,423,0.1,20,47780,35306,0.1,20,39973,20986,0.71,138,17879,10194,218,112660,43666
2793,486,486,50992,34964,0.68,332,45519,39356,0.09,46,2207,478,486,54083,37238,486,2060,339,0.09,46,99065,44633,0.09,46,82377,32503,0.65,317,18723,7145,521,113453,41006
2794,5524,5524,43556,37541,0.71,3948,44679,41336,0.11,629,2217,843,5524,46034,39108,5524,2282,458,0.1,526,104735,39298,0.09,517,89854,25328,0.7,3844,11536,7593,6073,105560,38486
2795,22728,22728,53915,44626,0.81,18347,54900,48848,0.14,3151,998,-91,22728,56431,46816,22728,2382,820,0.08,1831,112516,36907,0.08,1784,91267,22958,0.76,17292,15108,10306,25461,127724,53421
2797,237,237,43682,36276,0.72,171,52086,47659,0.1,23,-657,-1403,237,46790,40566,237,2259,669,0.18,42,104527,52553,0.17,41,97023,43248,0.72,170,11383,7378,257,95581,51177
2798,1262,1262,62522,45738,0.74,938,62631,51556,0.19,246,1156,-12,1262,65722,47950,1262,2933,846,0.15,185,346768,31659,0.15,186,322867,26245,0.74,934,21209,11450,1320,155945,76692
2799,2176,2176,49969,42322,0.79,1721,53363,47734,0.12,256,-496,-853,2176,52579,44592,2176,2407,946,0.09,203,85315,27749,0.09,202,76286,28240,0.74,1606,13692,9294,2468,102293,48001
2800,24972,24972,57449,44958,0.82,20463,56820,49147,0.14,3495,469,-517,24972,60316,47520,24972,2700,1010,0.09,2152,95856,35039,0.08,2120,67837,20935,0.77,19164,16888,10456,28253,127163,52581
2803,159,159,37155,30945,0.64,101,41313,38175,0.08,12,10308,3368,159,40806,32626,159,2565,313,0.11,18,78254,27226,0.11,18,65851,35089,0.63,100,9849,8038,170,127457,44425
2804,1387,1387,44800,36171,0.71,986,45149,40144,0.13,184,5516,1140,1387,47990,38443,1387,2225,435,0.12,173,134727,47446,0.13,176,116330,32636,0.69,960,12534,7490,1529,105760,43569
2805,224,224,55793,38478,0.75,167,47254,41604,0.15,33,786,115,224,58833,41738,224,2641,554,0.13,29,85212,27908,0.14,31,60463,21584,0.71,159,19201,8131,266,71066,39354
2806,470,470,46025,40264,0.7,327,48064,43880,0.13,62,2178,-40,470,48947,42771,470,2225,626,0.11,52,127218,69151,0.11,52,104613,52516,0.74,347,11650,8303,502,106898,45736
2807,191,191,40498,36747,0.71,135,37156,36740,0.08,15,816,645,191,43415,37990,191,2552,454,0.09,17,88213,26759,0.08,16,63023,17268,0.68,130,9649,6686,208,69549,24826
2808,68,68,42191,37198,0.78,53,46213,40169,0.16,11,3426,1858,68,44491,40138,68,2125,442,0.21,14,55468,17788,0.21,14,42622,19138,0.68,46,11522,7948,84,78934,38088
2809,114,114,47592,41021,0.63,72,40423,38198,0.08,9,11670,7500,114,51352,42006,114,3761,375,0.18,20,165010,48765,0.18,21,145592,31200,0.68,77,14012,11784,125,116033,41915
2810,1660,1660,43445,36996,0.62,1024,41856,38680,0.12,206,2854,497,1660,46948,40074,1660,3048,492,0.11,175,106346,49546,0.1,172,86175,32556,0.67,1119,11621,7990,1722,130973,48353
2820,3087,3087,45276,38399,0.74,2273,48275,43530,0.13,388,695,212,3087,48263,41086,3087,2422,699,0.1,306,136140,38962,0.1,297,121421,30150,0.71,2202,11733,8075,3493,91592,32934
2821,2530,2530,46442,40232,0.74,1880,48922,44025,0.12,296,2647,676,2530,49437,42338,2530,2280,480,0.09,221,104856,37000,0.08,212,93066,28820,0.72,1833,12446,8712,2806,111359,44592
2823,762,762,50715,41868,0.69,525,46185,43258,0.17,130,4204,3300,762,55228,45248,762,3196,448,0.09,72,208598,44565,0.1,73,182965,25854,0.73,553,14392,9832,818,112876,38835
2824,1231,1231,50077,42215,0.73,901,47830,44149,0.13,160,-389,152,1231,54850,45659,1231,3913,734,0.1,125,108902,50746,0.1,124,86408,35353,0.75,920,13726,9526,1414,120773,37394
2825,1355,1355,59587,43152,0.76,1024,53537,45214,0.15,197,951,0,1355,64258,46527,1355,3213,800,0.1,129,168192,55494,0.09,120,155989,43718,0.76,1032,18248,10483,1461,97106,38012
2827,1848,1848,44361,39385,0.71,1307,46022,42418,0.12,219,1856,773,1848,47832,42272,1848,2510,523,0.1,183,125466,58351,0.1,179,109544,36813,0.71,1307,11539,8070,1975,90086,36338
2828,362,362,44336,37011,0.58,210,34547,30158,0.14,49,1698,416,362,49821,39833,362,4199,300,0.15,56,123279,53409,0.16,57,104995,44351,0.67,241,12586,7731,413,123778,27620
2829,1466,1466,52979,43168,0.72,1060,47139,42870,0.14,200,1823,398,1466,64185,46376,1466,3165,570,0.11,159,213754,54541,0.11,161,170498,40220,0.76,1110,14140,8474,1715,112901,34118
2830,23333,23333,52600,44697,0.82,19094,53142,47520,0.13,3136,688,-363,23333,55107,46734,23333,2315,687,0.08,1850,110946,39898,0.08,1811,88200,26291,0.77,18072,14116,9603,26169,114624,43369
2831,1402,1402,45988,38736,0.65,918,49755,44540,0.14,198,1097,172,1402,50280,42118,1402,2655,316,0.13,189,121844,49350,0.13,188,103373,38864,0.71,994,12289,8793,1564,88072,34379
2832,1222,1222,46448,37926,0.78,949,47317,42323,0.14,168,-1281,-816,1222,65994,44622,1222,2458,500,0.09,111,240338,53070,0.09,104,206653,39507,0.71,865,12512,8664,1500,74046,19676
2833,249,249,45960,38166,0.71,178,45957,42999,0.12,31,-3322,-371,249,56064,42949,249,2640,580,0.1,26,153116,71534,0.12,29,121769,61968,0.71,178,11781,7956,317,68100,22280
